date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by,DESIRED_FORMAT,age_group
05-08-2022,34,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,05-08-2022,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Aug 2022,15-44
05-08-2022,10,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,11-08-2022,F,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Aug 2022,0-14
05-08-2022,27,Palestinian,Gaza City,Gaza,Gaza Strip,05-08-2022,M,Yes,Gaza city,Gaza,gunfire,shell,Israeli security forces,Aug 2022,15-44
05-08-2022,25,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,05-08-2022,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces,Aug 2022,15-44
05-08-2022,50,Palestinian,Gaza City,Gaza,Gaza Strip,05-08-2022,M,Yes,Gaza city,Gaza,shelling,bomb,Israeli security forces,Aug 2022,45-64
05-08-2022,38,Palestinian,Gaza City,Gaza,Gaza Strip,05-08-2022,M,Yes,Gaza city,Gaza,shelling,bomb,Israeli security forces,Aug 2022,15-44
05-08-2022,50,Palestinian,Gaza City,Gaza,Gaza Strip,05-08-2022,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2022,45-64
30-09-2021,39,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,30-09-2021,M,No,al-Bureij R.C.,Deir al-Balah,gunfire,live ammunition,Israeli security forces,Sep 2021,15-44
02-09-2021,27,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,02-09-2021,M,No,Jabalya R.C.,North Gaza,gunfire,live ammunition,Israeli security forces,Sep 2021,15-44
21-08-2021,13,Palestinian,Gaza City,Gaza,Gaza Strip,28-08-2021,M,No,Gaza city,Gaza,gunfire,live ammunition,Israeli security forces,Aug 2021,0-14
21-08-2021,31,Palestinian,Gaza City,Gaza,Gaza Strip,25-08-2021,M,Yes,Jabalya R.C.,North Gaza,gunfire,live ammunition,Israeli security forces,Aug 2021,15-44
20-05-2021,23,Palestinian,Jabalya,North Gaza,Gaza Strip,20-05-2021,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
